11

0 1 2 3 4 5 6 7 8 9 10 
1 1 2 3 4 5 6 7 8 9 10 
2 1 2 3 4 5 6 7 8 9 10 
3 1 2 3 4 5 6 7 8 9 10 
4 1 2 3 4 5 6 7 8 9 10 
5 1 2 3 4 5 6 0 8 9 10 
6 1 2 3 4 5 6 0 8 9 10 
7 1 2 3 4 5 6 0 8 9 10 
8 1 2 3 4 5 6 0 8 9 10 
9 1 2 3 4 5 6 0 8 9 10 
9 1 2 3 4 5 6 0 8 9 10 

0 10 20 30 40 50 60 70 80 90 100
10 10 20 30 40 50 60 70 80 90 100
10 10 20 30 40 50 60 70 80 90 100
10 10 20 30 40 50 60 70 80 90 100 
10 10 20 30 40 50 60 70 80 90 100 
10 10 20 30 40 50 60 70 80 90 100 
10 10 20 30 40 50 60 70 80 90 100 
10 10 20 30 40 50 60 70 80 90 100 
10 10 20 30 40 50 60 70 80 90 100 
10 10 20 30 40 50 60 70 80 90 100 
10 10 20 30 40 50 60 70 80 90 100 

